coragyps_atratus,ardea_alba,buteo_albicaudatus,gypohierax,harpya,milvago_chimachima,trigonoceps,aix,buteogallus,eudocimus,platalea,sarcorhamphus,vultur
OBS,ACG,,,,,ACA,OBS,,PRT,PRT,NAL,OBS
AST,OBS,,,,,LCD,ACA,,OBS,NAL,LCD,ACP
AUR,ACG,,,,,ACA,OBS,,CBT,PRT,PRT,ACG
OBS,OBS,,,,,NAL,ACA,,NAL,OBS,OBS,ACD
AUR,ACG,,,,,LCD,OBS,,ACG,ACD,PRT,ACE
NAL,OBS,,,,,NAL,NAL,,NAL,OBS,OBS,ACD
OBS,PRT,,,,,LCD,ACG,,ACG,ECA,NAL,OBS
ACE,OBS,,,,,NAL,OBS,,OBS,PRT,LCD,ACP
ACG,PRT,,,,,OBS,ACG,,ACG,OBS,OBS,OBS
PRT,OBS,,,,,ACA,OBS,,OBS,ACG,PRT,ACP
OBS,ACE,,,,,LCD,ACG,,NAL,NAL,OBS,OBS
ACG,PRT,,,,,ACA,OBS,,ACG,OBS,NAL,LCD
PRT,OBS,,,,,LCD,NAL,,OBS,SCL,ACP,PRT
ACE,ACG,,,,,OBS,ACG,,ACG,AST,OBS,OBS
PRT,OBS,,,,,AST,OBS,,OBS,OBS,NAL,PRT
OBS,ACE,,,,,ACD,NAL,,NAL,AST,OBS,ACD
ACG,ACD,,,,,AST,ACG,,SCL,OBS,NAL,PRT
ACE,ACE,,,,,ACD,OBS,,NAL,NAL,ACA,ACA
PRT,PRT,,,,,AST,ACG,,SCL,OBS,OBS,OBS
AST,OBS,,,,,OBS,OBS,,NAL,ECA,PRT,OBS
OBS,PRT,,,,,LCD,NAL,,ACG,AUR,OBS,APV
AST,OBS,,,,,AST,ACG,,OBS,OBS,ACE,OBS
OBS,PRT,,,,,PRT,OBS,,ACG,PRT,OBS,ACG
SAC,OBS,,,,,NAL,ACG,,OBS,OBS,NAL,OBS
OBS,PRT,,,,,PRT,OBS,,ACG,ECA,OBS,APV
AUR,OBS,,,,,OBS,NAL,,OBS,OBS,AUR,ACA
OBS,PRT,,,,,NAL,ACG,,ACG,APV,OBS,OBS
PRT,OBS,,,,,PRT,OBS,,PRT,PRT,AUR,ACE
OBS,PRT,,,,,ECA,ACG,,OBS,OBS,OBS,OBS
PRT,AST,,,,,AST,OBS,,ACG,APV,NAL,ACE
OBS,OBS,,,,,PRT,NAL,,OBS,OBS,AUR,OBS
ACG,PRT,,,,,OBS,ACG,,ACG,ECA,EMA,ACE
ACE,ACE,,,,,PRT,OBS,,OBS,NAL,LCD,OBS
OBS,OBS,,,,,OBS,SCL,,ACG,ACG,EMA,ACE
ACP,ACE,,,,,AST,ACG,,OBS,OBS,AUR,OBS
AUR,PRT,,,,,OBS,OBS,,ACG,ECA,EMA,ACG
AST,OBS,,,,,NAL,ACG,,OBS,OBS,LCD,ACD
APV,PRT,,,,,AST,SCL,,ACG,NAL,OBS,PRT
PRT,OBS,,,,,NAL,NAL,,OBS,LIT,AUR,ECA
OBS,PRT,,,,,AST,ACG,,NAL,OBS,OBS,PRT
AST,OBS,,,,,OBS,OBS,,ACG,PRT,SCL,OBS
PRT,PRT,,,,,LCD,CBT,,OBS,OBS,OBS,PRT
AST,OBS,,,,,ECA,ACG,,ACG,PRT,AUR,ECA
APV,PRT,,,,,OBS,OBS,,OBS,OBS,EMA,AUR
OBS,OBS,,,,,APV,ACG,,PRT,ACD,OBS,ECA
AST,PRT,,,,,NAL,OBS,,OBS,AUR,EMA,AUR
APV,ACP,,,,,APV,ACG,,SAC,OBS,PRT,PRT
NAL,PRT,,,,,NAL,OBS,,ACG,AUR,ACP,ACE
OBS,OBS,,,,,APV,ACG,,OBS,OBS,OBS,PRT
SAC,PRT,,,,,OBS,OBS,,ACG,AUR,NAL,OBS
NAL,OBS,,,,,AUR,NAL,,OBS,APV,OBS,PRT
OBS,PRT,,,,,OBS,ACG,,ACG,OBS,AUR,OBS
PRT,OBS,,,,,AUR,OBS,,OBS,ACE,EMA,ACE
,PRT,,,,,NAL,ACG,,,PRT,PRT,OBS
,OBS,,,,,AUR,OBS,,,CBA,OBS,AST
,PRT,,,,,OBS,NAL,,,NAL,AUR,OBS
,OBS,,,,,AUR,ACG,,,OBS,OBS,ACG
,PRT,,,,,OBS,OBS,,,AUR,EMA,AST
,OBS,,,,,LCD,ACG,,,OBS,LCD,NAL
,APV,,,,,ECA,OBS,,,PRT,OBS,SCL
,AUR,,,,,ACP,ACG,,,OBS,PRT,OBS
,APV,,,,,ACA,OBS,,,LIT,OBS,ACG
,AUR,,,,,NAL,AUR,,,OBS,AUR,OBS
,OBS,,,,,ACP,OBS,,,PRT,OBS,LCD
,PRT,,,,,ECA,ACG,,AST,OBS,LCD,ACD
,OBS,,,,,OBS,OBS,,OBS,NAL,AST,AST
,ACG,,,,,AST,ACG,,LCD,OBS,OBS,OBS
,OBS,,,,,APV,OBS,,ECA,NAL,AST,AST
,PRT,,,,,NAL,AUR,,AST,PRT,OBS,ACG
,OBS,,,,,OBS,NAL,,OBS,OBS,PRT,OBS
,ACG,,,,,APV,OBS,,LCD,NAL,OBS,AST
,OBS,,,,,OBS,ACG,,AST,OBS,PRT,OBS
,PRT,,,,,APV,OBS,,OBS,NAL,OBS,ACG
,OBS,,,,,OBS,ACG,,AST,OBS,NAL,OBS
,ACG,,,,,APV,OBS,,OBS,ECA,ACG,ACG
,OBS,,,,,OBS,NAL,,ACP,OBS,OBS,OBS
,ACG,,,,,APV,OBS,,AST,ECA,ACG,ACG
,OBS,,,,,OBS,ACG,,OBS,OBS,OBS,OBS
,ACG,,,,,APV,OBS,,ACG,ACG,ACG,ACG
,ACE,,,,,PRT,NAL,,OBS,OBS,OBS,NAL
,OBS,,,,,OBS,ACG,,LCD,NAL,ACG,OBS
,AUR,,,,,APV,OBS,,AST,PRT,OBS,ACA
,APV,,,,,AST,AUR,,ACD,OBS,ACP,OBS
,OBS,,,,,APV,NAL,,AST,ACG,OBS,ACG
,PRT,,,,,NAL,OBS,,APV,OBS,NAL,OBS
,OBS,,,,,APV,LCD,,OBS,NAL,PRT,ACG
,PRT,,,,,NAL,AUR,,AST,OBS,OBS,OBS
,OBS,,,,,APV,OBS,,OBS,NAL,AST,ACA
,ACG,,,,,AUR,ACG,,ACE,,OBS,OBS
,OBS,,,,,APV,OBS,,AST,,ACD,ACA
,ACG,,,,,NAL,AUR,,LIT,,AUR,OBS
,ACE,,,,,OBS,OBS,,OBS,,OBS,ACA
,OBS,,,,,,AUR,,AST,,AUR,LIT
,PRT,,,,,,OBS,,PRT,,OBS,OBS
,OBS,,,,,,AUR,,OBS,,ACA,LIT
,ACG,,,,,,OBS,,PRT,,PRT,OBS
,OBS,,,,,,NAL,,LIT,,OBS,PRT
,ACG,,,,,,AUR,,CBA,,AST,OBS
,OBS,,,,,,APV,,OBS,,NAL,PRT
,ACE,,,,,,OBS,,AUR,AUR,PRT,OBS
,OBS,,,,,,AUR,,AST,OBS,OBS,ACG
,ACE,,,,,,OBS,,ACE,AUR,AST,OBS
,OBS,,,,,,APV,,ACA,ACG,OBS,ACG
,PRT,,,,,,AUR,,OBS,PRT,PRT,OBS
,OBS,,,,,,OBS,,ACA,OBS,OBS,AST
,PRT,,,,,,APV,,OBS,PRT,AST,ACD
,OBS,,,,,,AUR,,ACA,OBS,OBS,ACA
,ACE,,,,,,OBS,,LIT,NAL,ACP,OBS
,PRT,,,,,,APV,,ACA,OBS,OBS,
,ACE,,,,,,AUR,,OBS,NAL,LIT,
,PRT,,,,,,OBS,,ACA,OBS,SCL,
,OBS,,,,,,AUR,,OBS,NAL,LIT,
,PRT,,,,,,NAL,,AST,SCL,OBS,
,AST,,,,,,OBS,,ACE,NAL,NAL,
,APV,,,,,,AUR,,AST,OBS,OBS,
,OBS,,,,,,OBS,,ACE,PRT,PRT,
,ACG,,,,,,AUR,,OBS,NAL,OBS,
,,,,,,,OBS,,PRT,OBS,LCD,
,,,,,,,AST,,OBS,PRT,OBS,
,,,,,,,APV,,LIT,OBS,NAL,
,,,,,,,AST,,ACP,PRT,OBS,
,,,,,,,OBS,,LIT,OBS,ACE,
,,,,,,,APV,,OBS,PRT,AST,
,,,,,,,AST,,LIT,OBS,OBS,
,,,,,,,OBS,,OBS,NAL,AUR,
,,,,,,,NAL,,NAL,OBS,OBS,
,,,,,,,AST,,OBS,NAL,AUR,
,,,,,,,AUR,,NAL,OBS,EMA,
,,,,,,,OBS,,OBS,PRT,AUR,
,,,,,,,AUR,,NAL,NAL,AST,
,,,,,,,OBS,,,PRT,AUR,
,,,,,,,AUR,,,OBS,AST,
,,,,,,,OBS,,,PRT,APV,
,,,,,,,AUR,,,OBS,OBS,
,,,,,,,OBS,,,AST,APV,
,,,,,,,AUR,,,ACG,OBS,
,,,,,,,OBS,,,OBS,AUR,
,,,,,,,AUR,,,NAL,OBS,
,,,,,,,OBS,,,OBS,LCD,
,,,,,,,AUR,,,NAL,OBS,
,,,,,,,OBS,,,OBS,AST,
,,,,,,,AUR,,ACG,CBT,AUR,
,,,,,,,OBS,,OBS,OBS,AST,
,,,,,,,AUR,,SCL,AST,ACD,
,,,,,,,OBS,,ACG,OBS,AST,
,,,,,,,AUR,,NAL,AST,ACD,
,,,,,,,OBS,,OBS,OBS,AST,
,,,,,,,AUR,,NAL,NAL,OBS,
,,,,,,,OBS,,SCL,OBS,LCD,
,,,,,,,ACD,,ACG,,AST,
,,,,,,,OBS,,OBS,,OBS,
,,,,,,,ACE,,NAL,,AST,
,,,,,,,OBS,,OBS,,OBS,
,,,,,,,NAL,,NAL,,APV,
,,,,,,,ACG,,AST,,OBS,
,,,,,,,OBS,,OBS,,ACG,
,,,,,,,ACG,,NAL,,OBS,
,,,,,,,OBS,,SCL,,SAC,
,,,,,,,ACD,,ACG,,OBS,
,,,,,,,OBS,,OBS,,AST,
,,,,,,,AST,,NAL,ACG,OBS,
,,,,,,,OBS,,SCL,OBS,PRT,
,,,,,,,NAL,,ACG,NAL,ACP,
,,,,,,,ACG,,NAL,OBS,ECA,
,,,,,,,OBS,,OBS,ACG,PRT,
,,,,,,,NAL,,NAL,OBS,APV,
,,,,,,,ACG,,SCL,ACE,PRT,
,,,,,,,OBS,,ACG,PRT,APV,
,,,,,,,ACG,,NAL,OBS,LIT,
,,,,,,,OBS,,OBS,NAL,OBS,
,,,,,,,ACG,,NAL,OBS,EMA,
,,,,,,,OBS,,OBS,NAL,PRT,
,,,,,,,AUR,,NAL,AST,APV,
,,,,,,,OBS,,OBS,PRT,ACD,
,,,,,,,CBA,,NAL,OBS,AST,
,,,,,,,OBS,,OBS,NAL,AUR,
,,,,,,,NAL,,NAL,PRT,PRT,
,,,,,,,OBS,,OBS,OBS,ACA,
,,,,,,,AUR,,SCL,PRT,PRT,
,,,,,,,OBS,,NAL,OBS,ACA,
,,,,,,,AUR,,OBS,SCL,PRT,
,,,,,,,OBS,,NAL,OBS,ACA,
,,,,,,,ACG,,SCL,SCL,PRT,
,,,,,,,OBS,,NAL,PRT,APV,
,,,,,,,ACG,,SCL,OBS,OBS,
,,,,,,,OBS,,ACG,EMA,AUR,
,,,,,,,NAL,,ACD,OBS,AST,
,,,,,,,ACG,,AST,SCL,EMA,
,,,,,,,OBS,,OBS,NAL,AST,
,,,,,,,AUR,,AST,APV,PRT,
,,,,,,,OBS,,NAL,OBS,APV,
,,,,,,,NAL,,SCL,ACE,OBS,
,,,,,,,OBS,,AST,AST,AST,
,,,,,,,AUR,,NAL,OBS,AUR,
,,,,,,,OBS,,OBS,PRT,APV,
,,,,,,,NAL,,NAL,APV,AST,
,,,,,,,,,OBS,OBS,AUR,
,,,,,,,,,NAL,NAL,AST,
,,,,,,,,,SCL,OBS,OBS,
,,,,,,,,,ACA,SCL,AST,
,,,,,,,,,LIT,PRT,OBS,
,,,,,,,,,OBS,OBS,AUR,
,,,,,,,,,NAL,SCL,AST,
,,,,,,,,,SCL,PRT,OBS,
,,,,,,,,,ACP,OBS,AUR,
,,,,,,,,,OBS,SCL,ACD,
,,,,,,,,,NAL,PRT,AST,
,,,,,,,AUR,,SCL,OBS,ACD,
,,,,,,,AST,,ACE,SCL,AST,
,,,,,,,OBS,,NAL,OBS,APV,
,,,,,,,AUR,,OBS,PRT,OBS,
,,,,,,,ACG,,NAL,NAL,AST,
,,,,,,,OBS,,ACE,OBS,ACG,
,,,,,,,AUR,,AST,SAC,OBS,
,,,,,,,ACG,,ACG,AUR,ACD,
,,,,,,,NAL,,OBS,NAL,OBS,
,,,,,,,OBS,,NAL,ACD,NAL,
,,,,,,,AUR,,SCL,OBS,OBS,
,,,,,,,ACG,,ACG,NAL,ACA,
,,,,,,,NAL,,OBS,ACG,OBS,
,,,,,,,OBS,,ACG,OBS,ACA,
,,,,,,,ACG,,NAL,ACG,OBS,
,,,,,,,NAL,,ACG,OBS,LIT,
,,,,,,,OBS,,OBS,SCL,OBS,
,,,,,,,ACG,,NAL,ACG,NAL,
,,,,,,,OBS,,SCL,OBS,OBS,
,,,,,,,ACG,,ACG,NAL,ACD,
,,,,,,,NAL,,NAL,OBS,OBS,
,,,,,,,OBS,,OBS,AST,AST,
,,,,,,,ACG,,NAL,OBS,ACG,
,,,,,,,NAL,,SCL,AST,ACP,
,,,,,,,OBS,,ACE,OBS,ACG,
,,,,,,,ACG,,AST,PRT,ACP,
,,,,,,,NAL,,NAL,NAL,OBS,
,,,,,,,OBS,,PRT,OBS,ACG,
,,,,,,,ACG,,OBS,PRT,OBS,
,,,,,,,OBS,,SCL,OBS,ACG,
,,,,,,,ACG,,ACD,PRT,OBS,
,,,,,,,NAL,,OBS,OBS,AST,
,,,,,,,NAL,,SCL,SCL,OBS,
,,,,,,,OBS,,ACD,PRT,ACG,
,,,,,,,ACG,,OBS,OBS,OBS,
,,,,,,,NAL,,OBS,PRT,ACG,
,,,,,,,OBS,,ECA,OBS,OBS,
,,,,,,,ACG,,AUR,ACD,ACG,
,,,,,,,NAL,,OBS,ACG,AST,
,,,,,,,OBS,,NAL,OBS,ACG,
,,,,,,,ACG,,ACP,CBA,OBS,
,,,,,,,NAL,,AUR,OBS,PRT,
,,,,,,,OBS,,OBS,APV,ACE,
,,,,,,,ACG,,ECA,OBS,OBS,
,,,,,,,NAL,,CBT,NAL,LIT,
,,,,,,,OBS,,AST,APV,OBS,
,,,,,,,ACG,,OBS,OBS,LIT,
,,,,,,,NAL,,CBT,,OBS,
,,,,,,,OBS,,PRT,,AST,
,,,,,,,ACG,,OBS,,OBS,
,,,,,,,NAL,,CBT,,ACP,
,,,,,,,OBS,,ACP,,OBS,
,,,,,,,AUR,,ACG,,ACP,
,,,,,,,ACG,,ACP,,OBS,
,,,,,,,NAL,,AST,,AUR,
,,,,,,,OBS,,OBS,,OBS,
,,,,,,,ACG,,ECA,,NAL,
,,,,,,,NAL,,PRT,,OBS,
,,,,,,,OBS,,AST,OBS,NAL,
,,,,,,,ACG,,OBS,AST,APV,
,,,,,,,NAL,,CBT,OBS,AST,
,,,,,,,OBS,,ACP,AST,OBS,
,,,,,,,ACG,,PRT,NAL,NAL,
,,,,,,,NAL,,AST,OBS,AUR,
,,,,,,,OBS,,OBS,ACG,SCL,
,,,,,,,CBA,,SCL,ACE,AUR,
,,,,,,,SCL,,PRT,AST,PRT,
,,,,,,,AUR,,CBT,ACE,OBS,
,,,,,,,ACP,,SCL,OBS,PRT,
,,,,,,,OBS,,ACP,NAL,OBS,
,,,,,,,ACP,,PRT,OBS,PRT,
,,,,,,,OBS,,OBS,SCL,OBS,
,,,,,,,CBA,,NAL,OBS,PRT,
,,,,,,,NAL,,ECA,SCL,OBS,
,,,,,,,SCL,,CBT,OBS,PRT,
,,,,,,,OBS,,ACP,SCL,OBS,
,,,,,,,NAL,,SCL,OBS,ACD,
,,,,,,,AST,,NAL,NAL,OBS,
,,,,,,,OBS,,ACG,SCL,SCL,
,,,,,,,AST,,AST,OBS,ACD,
,,,,,,,OBS,,OBS,NAL,OBS,
,,,,,,,ACD,,CBT,SCL,ACA,
,,,,,,,AST,,NAL,OBS,OBS,
,,,,,,,OBS,,ACE,SCL,ACA,
,,,,,,,NAL,,ACG,OBS,OBS,
,,,,,,,OBS,,ACP,SCL,NAL,
,,,,,,,NAL,,ACG,OBS,ACG,
,,,,,,,AUR,,AST,SCL,NAL,
,,,,,,,OBS,,OBS,ACG,OBS,
,,,,,,,AUR,,AST,OBS,NAL,
,,,,,,,OBS,,OBS,NAL,AST,
,,,,,,,CBA,,CBT,SCL,OBS,
,,,,,,,OBS,,ECA,OBS,NAL,
,,,,,,,CBA,,ACG,NAL,AUR,
,,,,,,,OBS,,AST,SCL,OBS,
,,,,,,,CBA,,OBS,NAL,NAL,
,,,,,,,OBS,,ACG,SCL,OBS,
,,,,,,,AST,,CBT,NAL,NAL,
,,,,,,,OBS,,PRT,SCL,PRT,
,,,,,,,AUR,,AUR,NAL,AST,
,,,,,,,OBS,,OBS,ACG,OBS,
,,,,,,,NAL,,PRT,OBS,NAL,
,,,,,,,AUR,,AST,SCL,APV,
,,,,,,,OBS,,AUR,OBS,AST,
,,,,,,,AST,,OBS,NAL,OBS,
,,,,,,,OBS,,CBT,SCL,ACA,
,,,,,,,AST,,ECA,OBS,OBS,
,,,,,,,OBS,,OBS,NAL,AST,
,,,,,,,NAL,,CBT,OBS,PRT,
,,,,,,,AST,,ACG,SCL,OBS,
,,,,,,,OBS,,OBS,NAL,AST,
,,,,,,,AUR,,ACG,OBS,OBS,
,,,,,,,OBS,,OBS,NAL,NAL,
,,,,,,,AST,,ACG,SCL,ACA,
,,,,,,,OBS,,OBS,OBS,OBS,
,,,,,,,CBA,,PRT,NAL,NAL,
,,,,,,,OBS,,OBS,SCL,OBS,
,,,,,,,NAL,,PRT,OBS,ACA,
,,,,,,,OBS,,CBT,NAL,OBS,
,,,,,,,NAL,,ECA,SCL,NAL,
,,,,,,,AUR,,CBT,OBS,PRT,
,,,,,,,LCD,,ECA,SCL,OBS,
,,,,,,,OBS,,CBT,ACG,NAL,
,,,,,,,AST,,SCL,OBS,PRT,
,,,,,,,OBS,,PRT,ACE,NAL,
,,,,,,,ACG,,AUR,ACG,OBS,
,,,,,,,OBS,,OBS,OBS,OBS,
,,,,,,,ACG,,AUR,SCL,PRT,
,,,,,,,OBS,,OBS,OBS,OBS,
,,,,,,,ACG,,AUR,SCL,NAL,
,,,,,,,OBS,,OBS,ACG,OBS,
,,,,,,,NAL,,AUR,ACE,ACP,
,,,,,,,ACG,,OBS,AST,OBS,
,,,,,,,OBS,,AUR,OBS,PRT,
,,,,,,,AST,,SCL,SCL,OBS,
,,,,,,,OBS,,PRT,NAL,LCD,
,,,,,,,AST,,AST,OBS,PRT,
,,,,,,,OBS,,OBS,NAL,OBS,
,,,,,,,AST,,NAL,SCL,ACD,
,,,,,,,OBS,,ECA,ACG,AST,
,,,,,,,ACG,,CBT,OBS,OBS,
,,,,,,,OBS,,OBS,SCL,NAL,
,,,,,,,NAL,,ECA,OBS,OBS,
,,,,,,,ACG,,ACG,NAL,PRT,
,,,,,,,OBS,,AST,SCL,OBS,
,,,,,,,AST,,OBS,OBS,LIT,
,,,,,,,OBS,,ACG,SCL,OBS,
,,,,,,,NAL,,PRT,ACG,ACP,
,,,,,,,AST,,AST,OBS,OBS,
,,,,,,,OBS,,PRT,SCL,ACP,
,,,,,,,ACD,,OBS,ACG,OBS,
,,,,,,,AST,,AUR,OBS,LCD,
,,,,,,,OBS,,OBS,AST,ACG,
,,,,,,,AST,,AUR,OBS,OBS,
,,,,,,,OBS,,OBS,ACE,AST,
,,,,,,,ACD,,AUR,OBS,OBS,
,,,,,,,OBS,,OBS,ACE,ECA,
,,,,,,,ACD,,CBT,PRT,NAL,
,,,,,,,OBS,,ECA,OBS,OBS,
,,,,,,,ACD,,CBT,SCL,LCD,
,,,,,,,OBS,,SAC,AST,OBS,
,,,,,,,ACA,,CBT,OBS,AUR,
,,,,,,,OBS,,SAC,NAL,OBS,
,,,,,,,ACA,,ECA,PRT,AST,
,,,,,,,OBS,,SCL,SCL,OBS,
,,,,,,,NAL,,PRT,AST,ACD,
,,,,,,,ACG,,OBS,APV,AUR,
,,,,,,,OBS,,SCL,OBS,OBS,
,,,,,,,ACG,,ACG,PRT,ACG,
,,,,,,,OBS,,PRT,ACA,OBS,
,,,,,,,ACG,,AST,OBS,,
,,,,,,,OBS,,OBS,SCL,,
,,,,,,,ACG,,ECA,ACD,,
,,,,,,,OBS,,CBT,OBS,,
,,,,,,,AUR,,ECA,SCL,,
,,,,,,,ACG,,SAC,NAL,,
,,,,,,,OBS,,CBT,,,
,,,,,,,LCD,,ECA,,,
,,,,,,,ACG,,SAC,,,
,,,,,,,OBS,,AUR,,,
,,,,,,,ACG,,PRT,,,
,,,,,,,OBS,,APV,,,
,,,,,,,ACG,,OBS,,,
,,,,,,,OBS,,ACD,,,
,,,,,,,ACG,,APV,,,
,,,,,,,SCL,,SCL,,,
,,,,,,,OBS,,PRT,,,
,,,,,,,ACG,,AUR,PRT,,
,,,,,,,OBS,,APV,OBS,,
,,,,,,,ACA,,AUR,PRT,,
,,,,,,,OBS,,APV,OBS,,
,,,,,,,AUR,,ACD,ECA,,
,,,,,,,ACA,,OBS,OBS,,
,,,,,,,OBS,,PRT,ECA,,
,,,,,,,AUR,,OBS,OBS,,
,,,,,,,ACA,,PRT,ECA,,
,,,,,,,OBS,,AST,OBS,,
,,,,,,,AUR,,APV,AST,,
,,,,,,,ACA,,OBS,OBS,,
,,,,,,,ACG,,PRT,NAL,,
,,,,,,,OBS,,ACG,AST,,
,,,,,,,AUR,,APV,OBS,,
,,,,,,,ACA,,AST,AST,,
,,,,,,,OBS,,APV,OBS,,
,,,,,,,ACP,,AST,AST,,
,,,,,,,OBS,,APV,OBS,,
,,,,,,,AUR,,AST,AST,,
,,,,,,,ACP,,APV,OBS,,
,,,,,,,OBS,,AST,AST,,
,,,,,,,AUR,,APV,OBS,,
,,,,,,,ACP,,AST,EMA,,
,,,,,,,,,APV,OBS,,
,,,,,,,,,AST,AST,,
,,,,,,,,,APV,OBS,,
,,,,,,,,,AST,AST,,
,,,,,,,,,APV,OBS,,
,,,,,,,,,OBS,APV,,
,,,,,,,,,APV,OBS,,
,,,,,,,,,SAC,NAL,,
,,,,,,,,,PRT,OBS,,
,,,,,,,,,AUR,NAL,,
,,,,,,,,,ECA,OBS,,
,,,,,,,AUR,,AST,SAC,,
,,,,,,,AST,,APV,SCL,,
,,,,,,,OBS,,AUR,SAC,,
,,,,,,,AUR,,ACG,AUR,,
,,,,,,,ACG,,ACP,OBS,,
,,,,,,,OBS,,NAL,SAC,,
,,,,,,,AUR,,AUR,OBS,,
,,,,,,,ACG,,AST,NAL,,
,,,,,,,NAL,,PRT,,,
,,,,,,,OBS,,ACE,,,
,,,,,,,AUR,,ACP,,,
,,,,,,,ACG,,ACG,,,
,,,,,,,NAL,,AST,,,
,,,,,,,OBS,,SAC,,,
,,,,,,,ACG,,APV,,,
,,,,,,,NAL,,AST,,,
,,,,,,,OBS,,ECA,,,
,,,,,,,ACG,,ACE,,,
,,,,,,,OBS,,ACP,,,
,,,,,,,ACG,,ECA,OBS,,
,,,,,,,NAL,,OBS,ACD,,
,,,,,,,OBS,,ACG,NAL,,
,,,,,,,ACG,,ACD,ACD,,
,,,,,,,NAL,,AST,OBS,,
,,,,,,,OBS,,ECA,NAL,,
,,,,,,,ACG,,NAL,PRT,,
,,,,,,,NAL,,AUR,OBS,,
,,,,,,,OBS,,SCL,NAL,,
,,,,,,,ACG,,LCD,OBS,,
,,,,,,,OBS,,ECA,SCL,,
,,,,,,,ACG,,PRT,ACG,,
,,,,,,,NAL,,OBS,AUR,,
,,,,,,,OBS,,NAL,NAL,,
,,,,,,,ACG,,OBS,SCL,,
,,,,,,,NAL,,ECA,PRT,,
,,,,,,,AUR,,ACE,OBS,,
,,,,,,,OBS,,AST,NAL,,
,,,,,,,ACG,,ACG,OBS,,
,,,,,,,NAL,,,NAL,,
,,,,,,,OBS,,,SCL,,
,,,,,,,AUR,,,ACD,,
,,,,,,,ACG,,,AUR,,
,,,,,,,NAL,,,NAL,,
,,,,,,,OBS,,,SCL,,
,,,,,,,ACG,,,AUR,,
,,,,,,,NAL,,,NAL,,
,,,,,,,OBS,,,AUR,,
,,,,,,,ACG,,,SCL,,
,,,,,,,NAL,,,OBS,,
,,,,,,,OBS,,AST,SCL,,
,,,,,,,ACG,,SCL,AST,,
,,,,,,,NAL,,AST,OBS,,
,,,,,,,OBS,,SCL,AST,,
,,,,,,,ACG,,AST,OBS,,
,,,,,,,NAL,,OBS,SCL,,
,,,,,,,OBS,,SCL,ACG,,
,,,,,,,ACG,,AST,OBS,,
,,,,,,,NAL,,APV,NAL,,
,,,,,,,OBS,,SCL,ACG,,
,,,,,,,ACG,,ACE,OBS,,
,,,,,,,NAL,,OBS,NAL,,
,,,,,,,OBS,,SCL,SCL,,
,,,,,,,ACG,,ACE,AST,,
,,,,,,,NAL,,OBS,OBS,,
,,,,,,,OBS,,SCL,,,
,,,,,,,ACG,,NAL,,,
,,,,,,,NAL,,AST,,,
,,,,,,,OBS,,OBS,,,
,,,,,,,AUR,,SCL,,,
,,,,,,,ACG,,ACE,,,
,,,,,,,NAL,,PRT,,,
,,,,,,,OBS,,ACE,,,
,,,,,,,ACG,,SCL,,,
,,,,,,,NAL,,PRT,,,
,,,,,,,OBS,,SCL,,,
,,,,,,,ACG,,PRT,ACG,,
,,,,,,,NAL,,NAL,OBS,,
,,,,,,,OBS,,SCL,NAL,,
,,,,,,,ACG,,AST,OBS,,
,,,,,,,NAL,,SCL,NAL,,
,,,,,,,OBS,,AST,ACG,,
,,,,,,,CBA,,OBS,OBS,,
,,,,,,,SCL,,NAL,NAL,,
,,,,,,,AUR,,OBS,AST,,
,,,,,,,ACP,,SCL,OBS,,
,,,,,,,OBS,,ACE,PRT,,
,,,,,,,ACP,,NAL,NAL,,
,,,,,,,OBS,,SCL,OBS,,
,,,,,,,CBA,,ACG,NAL,,
,,,,,,,NAL,,SCL,OBS,,
,,,,,,,SCL,,ACG,NAL,,
,,,,,,,OBS,,OBS,OBS,,
,,,,,,,NAL,,SCL,NAL,,
,,,,,,,AST,,AST,SCL,,
,,,,,,,OBS,,SCL,OBS,,
,,,,,,,AST,,AST,NAL,,
,,,,,,,OBS,,PRT,SCL,,
,,,,,,,ACD,,OBS,ACG,,
,,,,,,,AST,,AUR,OBS,,
,,,,,,,OBS,,SCL,AST,,
,,,,,,,NAL,,AST,OBS,,
,,,,,,,OBS,,SCL,AST,,
,,,,,,,NAL,,AST,PRT,,
,,,,,,,AUR,,OBS,OBS,,
,,,,,,,OBS,,SCL,PRT,,
,,,,,,,AUR,,AST,OBS,,
,,,,,,,OBS,,OBS,NAL,,
,,,,,,,CBA,,SCL,ACD,,
,,,,,,,OBS,,ACE,AST,,
,,,,,,,CBA,,SCL,OBS,,
,,,,,,,OBS,,ACG,NAL,,
,,,,,,,CBA,,SCL,AST,,
,,,,,,,OBS,,ACG,NAL,,
,,,,,,,AST,,ACP,AUR,,
,,,,,,,OBS,,SCL,NAL,,
,,,,,,,AUR,,ACP,OBS,,
,,,,,,,OBS,,SCL,AUR,,
,,,,,,,NAL,,ACA,LIT,,
,,,,,,,AUR,,SCL,PRT,,
,,,,,,,OBS,,AUR,OBS,,
,,,,,,,AST,,OBS,AUR,,
,,,,,,,OBS,,SCL,OBS,,
,,,,,,,AST,,AUR,PRT,,
,,,,,,,OBS,,OBS,OBS,,
,,,,,,,NAL,,NAL,NAL,,
,,,,,,,AST,,OBS,OBS,,
,,,,,,,OBS,,SCL,NAL,,
,,,,,,,AUR,,ACA,OBS,,
,,,,,,,OBS,,OBS,PRT,,
