coragyps_atratus,ardea_alba,buteo_albicaudatus,gypohierax,harpya,milvago_chimachima,trigonoceps,aix,buteogallus,eudocimus,platalea,sarcorhamphus,vultur
OBS,OBS,OBS,NAL,OBS,OBS,LIT,,AST,AST,,NAL,AST
ACP,PRT,OBS,OBS,AUR,ACD,OBS,,OBS,OBS,,APV,OBS
OBS,OBS,AST,NAL,OBS,OBS,NAL,,AST,NAL,,OBS,SAC
NAL,ACG,OBS,SCL,SCL,ACG,OBS,,OBS,SCL,,NAL,ACG
ACP,OBS,NAL,OBS,OBS,NAL,PRT,OBS,ACE,OBS,,LCD,OBS
OBS,ACG,OBS,SCL,AUR,OBS,OBS,AST,OBS,SCL,,OBS,CBT
ACP,OBS,ACP,OBS,OBS,ACG,NAL,OBS,NAL,PRT,,NAL,OBS
ACG,ACE,OBS,ACA,APV,OBS,OBS,AST,AST,AST,,ACD,ACG
NAL,OBS,ACE,OBS,OBS,ACP,PRT,PRT,OBS,OBS,,LCD,OBS
OBS,ACE,OBS,NAL,APV,OBS,NAL,OBS,NAL,ACE,,OBS,ACE
ACP,OBS,ACE,OBS,AUR,NAL,SCL,NAL,AST,PRT,,ACD,PRT
OBS,PRT,OBS,ACP,OBS,OBS,OBS,AST,OBS,OBS,OBS,ACP,OBS
ACP,OBS,ACE,OBS,AUR,AST ,NAL,OBS,AST,NAL,CBT,OBS,CBT
OBS,PRT,OBS,NAL,OBS,NAL,OBS,NAL,ACE,ECA,SCL,ACD,OBS
ACP,OBS,PRT,OBS,AUR,OBS,SCL,APV,PRT,SCL,AUR,OBS,CBT
OBS,ACE,OBS,APV,OBS,NAL,OBS,OBS,OBS,ACG,CBT,NAL,OBS
ACP,PRT,NAL,OBS,AUR,SCL,ECA,APV,NAL,ACA,SCL,ACA,NAL
OBS,ACE,OBS,LCD,OBS,OBS,OBS,OBS,AST,SCL,AUR,OBS,OBS
CBA,PRT,ACP,OBS,AUR,NAL,PRT,PRT,OBS,ACA,CBT,ACE,APV
NAL,OBS,NAL,LCD,ACD,CBA,OBS,OBS,AST,OBS,SCL,NAL,OBS
AST,PRT,SCL,OBS,OBS,NAL,NAL,CBT,NAL,SCL,LIT,LCD,ACA
OBS,AST,NAL,PRT,AST,SCL,PRT,ACP,ACD,NAL,CBT,OBS,OBS
AST,APV,SCL,NAL,OBS,OBS,ACE,OBS,OBS,OBS,SCL,AUR,APV
OBS,OBS,NAL,OBS,AUR,NAL,PRT,PRT,ACE,AUR,AUR,OBS,AST
